index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
index.html:244 Colisión con plataforma: {playerY: 689, platformY: 769, velocityY: 0, isJumping: false}
